                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    210,                0.51983,                0.29908,                 0.9594,                0.98874,                0.98064,                0.99051,                0.91003,                0.38439,                0.18862,                0.87587,              0.0079309,              0.0079309,              0.0079309
                    211,                0.50953,                 0.2901,                 0.9564,                0.98146,                0.98995,                0.99269,                0.90995,                0.38236,                0.18589,                0.87591,               0.007921,               0.007921,               0.007921
                    212,                0.49234,                0.28707,                0.94584,                0.97652,                0.98982,                0.99231,                0.91143,                0.37851,                0.18397,                0.87519,              0.0079111,              0.0079111,              0.0079111
                    213,                0.50763,                0.29571,                0.95161,                0.98491,                0.98968,                0.99198,                0.91483,                0.37484,                0.18576,                 0.8753,              0.0079012,              0.0079012,              0.0079012
                    214,                0.50858,                0.29794,                0.96325,                0.98867,                0.98878,                0.99224,                0.91593,                 0.3749,                0.18283,                0.87825,              0.0078913,              0.0078913,              0.0078913
                    215,                0.51313,                0.30239,                0.96027,                0.98203,                0.99152,                0.99257,                0.91627,                 0.3736,                0.18463,                0.87669,              0.0078814,              0.0078814,              0.0078814
                    216,                0.49976,                0.29343,                0.95067,                0.98327,                0.98883,                0.99176,                0.91715,                0.37232,                0.18108,                0.87423,              0.0078715,              0.0078715,              0.0078715
                    217,                0.50015,                0.28909,                 0.9495,                 0.9863,                 0.9898,                0.99168,                0.91586,                0.37172,                0.18132,                0.87835,              0.0078616,              0.0078616,              0.0078616
                    218,                0.51137,                0.29717,                0.95654,                0.98436,                0.98922,                0.99112,                0.91772,                0.37483,                0.18239,                0.88011,              0.0078517,              0.0078517,              0.0078517
                    219,                 0.5045,                0.29751,                0.95984,                0.98002,                0.98899,                0.99188,                0.91752,                0.37247,                 0.1827,                0.88054,              0.0078418,              0.0078418,              0.0078418
                    220,                0.50509,                0.28829,                0.95716,                0.98225,                 0.9916,                0.99185,                0.92147,                0.36989,                0.17886,                0.87698,              0.0078319,              0.0078319,              0.0078319
                    221,                  0.496,                0.28685,                0.95227,                0.98531,                 0.9908,                0.99204,                0.92059,                0.36967,                0.17694,                0.87519,               0.007822,               0.007822,               0.007822
                    222,                 0.5088,                0.29243,                0.96433,                0.98454,                0.99082,                0.99209,                0.92279,                 0.3709,                 0.1787,                0.87261,              0.0078121,              0.0078121,              0.0078121
                    223,                0.49397,                0.28668,                 0.9494,                0.98135,                0.99151,                 0.9924,                0.92547,                0.36434,                 0.1769,                0.87213,              0.0078022,              0.0078022,              0.0078022
                    224,                0.49755,                0.28621,                0.95694,                0.98432,                0.99149,                0.99203,                0.92346,                0.36522,                0.17586,                 0.8743,              0.0077923,              0.0077923,              0.0077923
                    225,                0.49887,                0.28497,                0.95271,                0.98389,                0.99104,                0.99264,                0.92461,                0.36742,                0.17835,                0.87532,              0.0077824,              0.0077824,              0.0077824
                    226,                0.50452,                 0.2964,                0.95102,                 0.9818,                0.98793,                0.99103,                0.92178,                0.36407,                 0.1778,                0.87561,              0.0077725,              0.0077725,              0.0077725
                    227,                0.50904,                0.29679,                0.95503,                0.98757,                0.98655,                0.99164,                0.92005,                0.36629,                0.17702,                0.87481,              0.0077626,              0.0077626,              0.0077626
                    228,                0.50585,                0.29804,                0.95909,                0.98017,                0.99176,                0.99169,                0.92192,                0.36452,                0.17916,                0.87432,              0.0077527,              0.0077527,              0.0077527
                    229,                0.49755,                0.29039,                 0.9568,                0.98248,                0.98816,                0.99234,                0.91946,                0.36477,                0.17553,                 0.8737,              0.0077428,              0.0077428,              0.0077428
                    230,                0.49524,                0.28851,                0.95421,                0.98586,                0.98636,                 0.9919,                 0.9214,                0.36511,                0.17279,                0.87442,              0.0077329,              0.0077329,              0.0077329
                    231,                 0.4953,                0.28325,                0.94915,                0.98943,                0.98713,                0.99175,                0.92186,                0.36328,                0.17444,                0.87461,               0.007723,               0.007723,               0.007723
                    232,                0.49358,                0.28741,                0.95859,                0.98291,                0.99225,                 0.9927,                0.92158,                0.36307,                0.17329,                0.87436,              0.0077131,              0.0077131,              0.0077131
                    233,                0.50765,                0.29247,                0.95888,                0.98281,                0.99116,                0.99267,                0.92394,                0.36152,                0.17367,                0.87393,              0.0077032,              0.0077032,              0.0077032
                    234,                0.49328,                0.28099,                0.95612,                0.98089,                 0.9918,                0.99192,                0.92378,                 0.3556,                 0.1699,                   0.87,              0.0076933,              0.0076933,              0.0076933
                    235,                0.49655,                0.28618,                0.95606,                 0.9878,                0.98628,                0.99172,                0.92366,                0.35778,                0.17259,                0.86865,              0.0076834,              0.0076834,              0.0076834
                    236,                0.48955,                0.28688,                0.95003,                0.98898,                0.98708,                0.99179,                0.92514,                 0.3596,                0.17224,                0.86876,              0.0076735,              0.0076735,              0.0076735
                    237,                0.49765,                0.29027,                0.95449,                0.98655,                0.99065,                0.99231,                0.92359,                0.35882,                0.17285,                0.86801,              0.0076636,              0.0076636,              0.0076636
                    238,                0.49018,                0.28727,                0.94678,                0.98679,                 0.9906,                0.99246,                0.92494,                0.35941,                0.17161,                0.86803,              0.0076537,              0.0076537,              0.0076537
                    239,                0.49045,                0.28769,                0.94874,                0.98628,                0.99198,                0.99255,                0.92973,                0.35309,                0.17189,                0.86441,              0.0076438,              0.0076438,              0.0076438
                    240,                0.49421,                0.29031,                0.94526,                0.98332,                0.99241,                0.99262,                0.92631,                0.35418,                0.17146,                0.86361,              0.0076339,              0.0076339,              0.0076339
                    241,                0.48469,                0.28271,                 0.9431,                0.98165,                0.99097,                0.99191,                0.92437,                0.35259,                0.17192,                0.86304,               0.007624,               0.007624,               0.007624
                    242,                0.48896,                0.28081,                0.94993,                0.98642,                0.98828,                0.99274,                0.92451,                0.35062,                0.17009,                0.86199,              0.0076141,              0.0076141,              0.0076141
                    243,                0.48784,                0.28165,                 0.9519,                0.98937,                0.98688,                0.99279,                 0.9254,                0.34961,                0.17039,                 0.8623,              0.0076042,              0.0076042,              0.0076042
                    244,                0.49259,                0.29188,                0.95375,                0.98758,                 0.9898,                0.99289,                0.92759,                0.34871,                0.16951,                0.86388,              0.0075943,              0.0075943,              0.0075943
                    245,                0.48531,                0.28801,                0.95385,                 0.9867,                0.99302,                0.99315,                0.92602,                 0.3485,                0.17029,                0.86523,              0.0075844,              0.0075844,              0.0075844
                    246,                 0.4835,                0.27964,                0.94466,                0.98722,                0.99239,                0.99302,                0.92924,                0.34607,                0.16899,                0.86551,              0.0075745,              0.0075745,              0.0075745
                    247,                 0.4898,                0.28645,                0.95317,                0.98258,                 0.9929,                 0.9925,                0.92753,                0.34491,                 0.1688,                 0.8648,              0.0075646,              0.0075646,              0.0075646
                    248,                0.49092,                0.28087,                0.95559,                0.98905,                0.98846,                0.99233,                0.92957,                0.34419,                 0.1687,                0.86377,              0.0075547,              0.0075547,              0.0075547
                    249,                0.49087,                 0.2856,                0.95353,                0.98804,                0.99016,                0.99281,                0.92912,                0.34507,                0.16805,                0.86352,              0.0075448,              0.0075448,              0.0075448
                    250,                0.48251,                 0.2874,                0.94282,                0.98657,                0.98961,                0.99274,                0.92818,                0.34488,                 0.1683,                0.86262,              0.0075349,              0.0075349,              0.0075349
                    251,                0.47281,                0.27387,                0.93897,                0.98809,                   0.99,                0.99288,                   0.93,                0.34281,                0.16838,                0.86165,               0.007525,               0.007525,               0.007525
                    252,                0.48296,                0.28204,                0.94207,                0.98634,                0.99056,                0.99238,                0.92972,                0.34297,                0.16776,                0.86053,              0.0075151,              0.0075151,              0.0075151
                    253,                0.48318,                0.28499,                0.95331,                0.98636,                0.99373,                0.99291,                0.92958,                0.34068,                0.16616,                0.86002,              0.0075052,              0.0075052,              0.0075052
                    254,                0.48041,                0.28533,                0.94409,                0.98498,                  0.991,                0.99236,                0.93023,                0.33873,                0.16499,                0.85891,              0.0074953,              0.0074953,              0.0074953
                    255,                0.48159,                0.27988,                0.94795,                0.97941,                0.99064,                0.99188,                0.93379,                0.33774,                0.16586,                0.86091,              0.0074854,              0.0074854,              0.0074854
                    256,                0.48854,                0.28451,                0.95044,                0.98703,                0.98942,                0.99284,                0.93387,                0.33793,                0.16499,                0.86076,              0.0074755,              0.0074755,              0.0074755
                    257,                0.47461,                0.27745,                0.95017,                0.98547,                0.98921,                0.99288,                0.93101,                0.33941,                 0.1649,                0.86232,              0.0074656,              0.0074656,              0.0074656
                    258,                 0.4814,                0.27549,                 0.9507,                0.98799,                0.99043,                  0.993,                0.93226,                0.33653,                0.16448,                0.86368,              0.0074557,              0.0074557,              0.0074557
                    259,                0.47273,                0.27132,                0.94132,                0.98467,                0.99261,                0.99312,                0.93289,                0.33709,                0.16336,                0.86386,              0.0074458,              0.0074458,              0.0074458
                    260,                0.47951,                0.27804,                0.94454,                0.98363,                0.98953,                0.99222,                0.93085,                0.33859,                0.16349,                0.86505,              0.0074359,              0.0074359,              0.0074359
                    261,                0.47959,                0.28298,                0.94859,                0.98853,                0.99068,                0.99298,                0.93165,                0.33706,                0.16374,                 0.8633,               0.007426,               0.007426,               0.007426
                    262,                0.47384,                0.27347,                0.93647,                0.98694,                0.99017,                 0.9929,                0.93435,                0.33496,                0.16437,                0.86191,              0.0074161,              0.0074161,              0.0074161
                    263,                0.47412,                0.27738,                0.94086,                0.98546,                0.99084,                0.99292,                0.93264,                0.33318,                0.16337,                 0.8577,              0.0074062,              0.0074062,              0.0074062
                    264,                0.48091,                0.28118,                0.94609,                0.98661,                0.99256,                0.99308,                0.93381,                0.33219,                0.16238,                0.85604,              0.0073963,              0.0073963,              0.0073963
                    265,                0.48026,                0.28303,                0.94357,                 0.9851,                0.99195,                0.99267,                0.93299,                0.33089,                 0.1631,                0.85618,              0.0073864,              0.0073864,              0.0073864
                    266,                0.48317,                0.27953,                0.94959,                0.98555,                0.99389,                0.99301,                 0.9329,                0.33024,                0.16214,                0.85706,              0.0073765,              0.0073765,              0.0073765
                    267,                0.46709,                0.27397,                0.94183,                0.98635,                0.99385,                0.99297,                0.93403,                0.33161,                0.16238,                 0.8593,              0.0073666,              0.0073666,              0.0073666
                    268,                0.46442,                0.27574,                0.94104,                0.98874,                0.98997,                 0.9928,                0.93403,                  0.331,                0.16233,                0.85912,              0.0073567,              0.0073567,              0.0073567
                    269,                0.47177,                0.27482,                0.94086,                0.98679,                0.99081,                0.99267,                 0.9355,                0.32984,                0.16142,                0.85716,              0.0073468,              0.0073468,              0.0073468
                    270,                0.47308,                0.27459,                0.93891,                0.98656,                0.99102,                0.99239,                0.93472,                 0.3265,                0.15898,                0.85477,              0.0073369,              0.0073369,              0.0073369
                    271,                0.47442,                0.27822,                0.94232,                0.98729,                0.99149,                0.99271,                 0.9369,                0.32731,                0.16018,                0.85549,               0.007327,               0.007327,               0.007327
                    272,                0.46931,                0.27646,                0.94061,                0.98724,                0.99072,                0.99273,                0.93643,                0.32854,                0.15935,                0.85645,              0.0073171,              0.0073171,              0.0073171
                    273,                0.47759,                0.26647,                0.94354,                0.98698,                0.98981,                  0.993,                0.93929,                0.32938,                0.15905,                0.85653,              0.0073072,              0.0073072,              0.0073072
                    274,                0.47715,                0.27398,                0.94387,                0.98628,                0.99085,                0.99294,                0.93621,                0.33012,                0.15999,                0.85467,              0.0072973,              0.0072973,              0.0072973
                    275,                0.47189,                0.27791,                0.94206,                0.98727,                0.99071,                0.99307,                0.93624,                0.32843,                 0.1605,                0.85302,              0.0072874,              0.0072874,              0.0072874
                    276,                0.47004,                0.27545,                0.93853,                0.98451,                0.99129,                0.99338,                0.93487,                0.32552,                0.15892,                 0.8526,              0.0072775,              0.0072775,              0.0072775
                    277,                0.46962,                0.27348,                0.94454,                0.98621,                0.98935,                0.99334,                0.93695,                0.32408,                0.15937,                 0.8521,              0.0072676,              0.0072676,              0.0072676
                    278,                0.47293,                0.27437,                0.94195,                0.98639,                0.99122,                0.99327,                0.93818,                0.32397,                 0.1609,                0.85225,              0.0072577,              0.0072577,              0.0072577
                    279,                0.46905,                0.27272,                 0.9352,                0.98723,                0.99138,                0.99279,                0.93681,                0.32365,                 0.1604,                0.85184,              0.0072478,              0.0072478,              0.0072478
                    280,                0.47011,                0.28247,                0.93446,                0.99067,                0.98837,                0.99284,                0.93678,                 0.3217,                0.15913,                0.85046,              0.0072379,              0.0072379,              0.0072379
                    281,                0.47466,                0.27566,                0.94463,                0.99217,                0.98834,                0.99341,                0.93779,                0.31922,                0.15822,                0.84924,               0.007228,               0.007228,               0.007228
                    282,                0.47333,                0.27531,                0.94302,                0.99109,                0.98908,                0.99381,                0.93959,                0.31824,                 0.1565,                0.84885,              0.0072181,              0.0072181,              0.0072181
                    283,                0.47346,                0.26907,                0.94221,                0.99019,                0.98811,                0.99295,                0.93797,                0.31992,                0.15638,                0.84988,              0.0072082,              0.0072082,              0.0072082
                    284,                0.45875,                0.27094,                0.93486,                0.99189,                 0.9889,                0.99373,                0.93853,                0.31846,                0.15565,                0.84939,              0.0071983,              0.0071983,              0.0071983
                    285,                0.46765,                0.27266,                0.94207,                0.99101,                0.98913,                0.99392,                 0.9387,                0.31918,                0.15669,                 0.8496,              0.0071884,              0.0071884,              0.0071884
                    286,                0.46277,                 0.2724,                0.93546,                0.99025,                0.98973,                0.99362,                0.93995,                0.31783,                0.15529,                0.84956,              0.0071785,              0.0071785,              0.0071785
                    287,                0.46886,                0.27407,                0.94617,                0.99147,                0.98833,                0.99348,                0.94005,                0.31799,                0.15683,                0.85068,              0.0071686,              0.0071686,              0.0071686
                    288,                0.46375,                0.27549,                0.94166,                0.99102,                0.98955,                0.99376,                0.94104,                0.31589,                0.15663,                   0.85,              0.0071587,              0.0071587,              0.0071587
                    289,                 0.4597,                0.27233,                 0.9392,                0.98793,                0.99278,                0.99318,                0.94198,                0.31552,                0.15487,                0.84993,              0.0071488,              0.0071488,              0.0071488
                    290,                0.46869,                0.26799,                0.94279,                0.99152,                0.99038,                0.99318,                0.94451,                0.31438,                0.15408,                0.84862,              0.0071389,              0.0071389,              0.0071389
                    291,                0.46952,                0.27304,                 0.9388,                0.99112,                0.98962,                 0.9931,                0.94385,                0.31266,                0.15409,                0.84753,               0.007129,               0.007129,               0.007129
                    292,                0.45792,                0.26804,                0.93679,                 0.9913,                0.98974,                0.99318,                0.94463,                0.31138,                0.15348,                  0.847,              0.0071191,              0.0071191,              0.0071191
                    293,                0.46056,                0.27199,                0.94044,                0.99034,                0.99022,                0.99304,                 0.9417,                0.31107,                0.15381,                0.84726,              0.0071092,              0.0071092,              0.0071092
                    294,                0.46018,                0.25997,                0.93331,                0.98862,                 0.9899,                0.99314,                0.94197,                0.31029,                0.15286,                 0.8469,              0.0070993,              0.0070993,              0.0070993
                    295,                0.45741,                0.26406,                0.93719,                0.98847,                0.98984,                0.99293,                0.94541,                0.30874,                0.15202,                0.84607,              0.0070894,              0.0070894,              0.0070894
                    296,                0.45963,                0.25953,                0.93051,                0.98808,                0.99194,                0.99316,                0.94614,                0.30822,                 0.1507,                0.84532,              0.0070795,              0.0070795,              0.0070795
                    297,                0.45135,                0.26468,                0.93473,                0.98763,                0.99154,                0.99305,                0.94468,                0.30773,                0.15094,                0.84453,              0.0070696,              0.0070696,              0.0070696
                    298,                0.45393,                 0.2649,                0.92981,                0.98585,                0.99346,                0.99321,                0.94698,                0.30759,                0.15029,                0.84442,              0.0070597,              0.0070597,              0.0070597
                    299,                0.44991,                0.25555,                0.92807,                0.98729,                   0.99,                0.99315,                 0.9474,                0.30619,                 0.1511,                0.84419,              0.0070498,              0.0070498,              0.0070498
                    300,                0.45903,                0.26231,                0.93965,                0.98682,                 0.9908,                0.99315,                0.94621,                0.30666,                0.14975,                0.84478,              0.0070399,              0.0070399,              0.0070399
                    301,                0.46105,                0.26296,                0.93714,                0.99051,                0.98894,                0.99295,                0.94589,                0.30701,                0.14949,                0.84539,                0.00703,                0.00703,                0.00703
                    302,                0.45249,                0.26441,                0.93897,                0.99138,                0.98914,                0.99307,                0.94644,                0.30628,                0.14859,                0.84512,              0.0070201,              0.0070201,              0.0070201
                    303,                0.45782,                0.26613,                0.93551,                0.99073,                0.99004,                0.99333,                0.94504,                0.30712,                0.14846,                0.84533,              0.0070102,              0.0070102,              0.0070102
                    304,                0.47277,                0.27791,                 0.9426,                0.99053,                0.98845,                0.99305,                0.94413,                0.30871,                0.15067,                0.84597,              0.0070003,              0.0070003,              0.0070003
                    305,                0.46316,                0.26995,                0.94035,                0.99055,                0.98829,                0.99312,                0.94341,                0.30904,                0.15057,                0.84539,              0.0069904,              0.0069904,              0.0069904
                    306,                0.45454,                0.25988,                0.93024,                0.99022,                0.98845,                0.99295,                0.94571,                0.30738,                0.14924,                0.84458,              0.0069805,              0.0069805,              0.0069805
                    307,                0.46209,                 0.2679,                0.93927,                0.99049,                0.98865,                0.99358,                0.94389,                0.30787,                0.14982,                0.84517,              0.0069706,              0.0069706,              0.0069706
                    308,                0.45238,                0.26697,                 0.9281,                0.98893,                0.98832,                0.99364,                0.94788,                0.30583,                0.14919,                0.84431,              0.0069607,              0.0069607,              0.0069607
                    309,                 0.4504,                0.26306,                0.93123,                0.98958,                0.98797,                0.99377,                0.94902,                0.30306,                0.14915,                0.84283,              0.0069508,              0.0069508,              0.0069508
                    310,                0.45726,                0.27146,                0.93262,                 0.9894,                0.98926,                 0.9937,                0.95034,                0.30138,                0.14956,                0.84185,              0.0069409,              0.0069409,              0.0069409
                    311,                0.44956,                0.26449,                0.93401,                0.99086,                0.98818,                0.99387,                0.94956,                0.30144,                0.14882,                0.84225,               0.006931,               0.006931,               0.006931
                    312,                0.44669,                0.26146,                0.92911,                0.99132,                0.98734,                0.99373,                0.94949,                0.30104,                0.14774,                0.84187,              0.0069211,              0.0069211,              0.0069211
                    313,                0.45336,                0.26567,                 0.9292,                0.98686,                 0.9929,                0.99393,                0.94951,                0.30135,                0.14878,                0.84312,              0.0069112,              0.0069112,              0.0069112
                    314,                0.44853,                0.26219,                0.93183,                0.98663,                0.99286,                0.99387,                0.95035,                0.30028,                0.14937,                0.84387,              0.0069013,              0.0069013,              0.0069013
                    315,                  0.443,                0.26064,                0.92921,                0.98881,                 0.9901,                 0.9939,                 0.9501,                0.29835,                0.14911,                0.84307,              0.0068914,              0.0068914,              0.0068914
                    316,                0.44461,                0.26037,                0.92543,                0.98722,                 0.9896,                0.99393,                0.95073,                 0.2977,                0.14831,                0.84271,              0.0068815,              0.0068815,              0.0068815
                    317,                0.45274,                0.26481,                0.93219,                0.98967,                0.99078,                0.99396,                0.95208,                  0.296,                0.14762,                0.84184,              0.0068716,              0.0068716,              0.0068716
                    318,                0.44383,                0.25763,                0.92528,                0.99097,                0.98874,                  0.994,                0.95137,                0.29548,                0.14761,                0.84062,              0.0068617,              0.0068617,              0.0068617
                    319,                0.44806,                0.26473,                0.93031,                0.99083,                0.98859,                0.99376,                 0.9515,                0.29489,                0.14869,                0.84013,              0.0068518,              0.0068518,              0.0068518
                    320,                0.45032,                0.26126,                0.92324,                0.98984,                0.98889,                0.99375,                0.95224,                0.29491,                0.14844,                0.83962,              0.0068419,              0.0068419,              0.0068419
                    321,                0.44762,                0.25592,                0.92918,                0.99155,                0.98832,                0.99397,                0.95054,                0.29387,                 0.1466,                0.83921,               0.006832,               0.006832,               0.006832
                    322,                0.44904,                 0.2607,                0.93119,                0.99104,                 0.9887,                0.99391,                0.95087,                0.29379,                0.14522,                0.83885,              0.0068221,              0.0068221,              0.0068221
                    323,                0.44437,                0.26388,                0.92698,                0.98998,                0.98907,                0.99392,                0.95162,                0.29313,                0.14591,                0.83789,              0.0068122,              0.0068122,              0.0068122
                    324,                0.44687,                0.26466,                0.92275,                 0.9901,                0.98853,                0.99397,                0.95127,                0.29227,                0.14601,                0.83686,              0.0068023,              0.0068023,              0.0068023
                    325,                0.44695,                0.26368,                0.92869,                0.99094,                0.98763,                0.99405,                0.95085,                 0.2928,                0.14636,                0.83656,              0.0067924,              0.0067924,              0.0067924
                    326,                 0.4393,                0.26481,                0.92116,                0.99099,                0.98697,                0.99394,                0.94969,                0.29163,                0.14472,                0.83601,              0.0067825,              0.0067825,              0.0067825
                    327,                0.44157,                0.26062,                0.93129,                 0.9902,                0.98765,                0.99388,                0.95014,                0.29064,                0.14542,                0.83515,              0.0067726,              0.0067726,              0.0067726
                    328,                0.45241,                0.26967,                0.92749,                0.99034,                0.98722,                0.99387,                0.94937,                0.28987,                0.14669,                0.83508,              0.0067627,              0.0067627,              0.0067627
                    329,                0.44512,                0.25851,                0.92472,                0.99133,                0.98686,                0.99392,                0.95204,                0.28938,                0.14642,                0.83564,              0.0067528,              0.0067528,              0.0067528
                    330,                0.44479,                0.25686,                0.92519,                0.99162,                0.98699,                0.99396,                0.95288,                0.28832,                0.14577,                0.83579,              0.0067429,              0.0067429,              0.0067429
                    331,                0.43425,                 0.2546,                 0.9187,                0.98394,                0.99451,                 0.9939,                0.95337,                0.28678,                0.14397,                0.83546,               0.006733,               0.006733,               0.006733
                    332,                0.44081,                0.26835,                0.92611,                 0.9848,                0.99419,                0.99385,                0.95304,                0.28659,                0.14339,                0.83555,              0.0067231,              0.0067231,              0.0067231
                    333,                0.43663,                0.26365,                0.92314,                0.98611,                0.99486,                0.99409,                 0.9533,                 0.2855,                0.14347,                  0.835,              0.0067132,              0.0067132,              0.0067132
                    334,                0.44638,                0.25803,                0.93386,                0.98606,                0.99483,                0.99422,                0.95179,                0.28598,                 0.1428,                0.83551,              0.0067033,              0.0067033,              0.0067033
                    335,                0.43255,                0.25679,                0.92522,                0.98998,                0.99302,                0.99427,                0.95257,                0.28522,                0.14265,                0.83569,              0.0066934,              0.0066934,              0.0066934
                    336,                0.44677,                0.26444,                0.93297,                0.99066,                0.99269,                0.99436,                0.95236,                0.28414,                0.14296,                0.83581,              0.0066835,              0.0066835,              0.0066835
                    337,                0.43506,                0.25717,                0.92525,                 0.9903,                0.99299,                0.99423,                0.95286,                0.28388,                0.14391,                0.83584,              0.0066736,              0.0066736,              0.0066736
                    338,                0.43776,                 0.2556,                0.92254,                0.98938,                0.99318,                0.99423,                0.95513,                0.28413,                0.14397,                0.83605,              0.0066637,              0.0066637,              0.0066637
                    339,                0.43406,                0.25516,                0.92932,                0.98818,                0.99244,                0.99423,                0.95524,                0.28313,                0.14366,                0.83644,              0.0066538,              0.0066538,              0.0066538
                    340,                0.44014,                0.25621,                0.92946,                0.98806,                0.99251,                0.99429,                0.95399,                0.28266,                0.14361,                0.83702,              0.0066439,              0.0066439,              0.0066439
                    341,                 0.4316,                0.25708,                0.92087,                0.98813,                0.99186,                0.99419,                0.95463,                0.28247,                0.14315,                0.83728,               0.006634,               0.006634,               0.006634
                    342,                0.43591,                0.25769,                0.92837,                0.99247,                0.98765,                0.99414,                0.95568,                 0.2826,                0.14357,                0.83684,              0.0066241,              0.0066241,              0.0066241
                    343,                 0.4328,                0.25509,                  0.927,                0.98726,                0.99262,                0.99408,                0.95468,                0.28226,                0.14374,                0.83618,              0.0066142,              0.0066142,              0.0066142
